Tags,Ticket,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
,60266824,05/22/2025 17:03,05/23/2025 17:24,GBPAUD,Buy,0.030,2.08484,0.00000,2.09298,2.08481,-0.1400,-0.1300,-81.7,-16.14,-0.54,"[sl]",11,01:00:20:31,,,,,,,,,,,,
,60266598,05/22/2025 17:01,05/23/2025 12:38,GBPNZD,Buy,0.030,2.26597,0.00000,2.27441,2.26589,-0.1400,-0.1200,-85.2,-15.48,-0.52,"[sl]",11,00:19:37:04,,,,,,,,,,,,
,60259090,05/22/2025 09:36,05/22/2025 20:30,CHFJPY,Sell,0.030,0.00000,0.00000,173.59400,173.77700,-0.1300,0.0000,-18.3,-3.94,-0.13,"",11,00:10:54:00,,,,,,,,,,,,
,60260080,05/22/2025 10:40,05/22/2025 19:00,AUDJPY,Sell,0.030,0.00000,0.00000,92.22700,92.33100,-0.0700,0.0000,-10.4,-2.24,-0.07,"",11,00:08:19:50,,,,,,,,,,,,
,60259502,05/22/2025 10:09,05/22/2025 17:45,EURJPY,Sell,0.030,0.00000,0.00000,162.24700,162.29500,-0.1200,0.0000,-4.8,-1.12,-0.04,"",11,00:07:35:58,,,,,,,,,,,,
,60259038,05/22/2025 09:30,05/22/2025 15:08,CADJPY,Sell,0.030,0.00000,0.00000,103.36700,103.47200,-0.0800,0.0000,-10.5,-2.28,-0.08,"",11,00:05:37:17,,,,,,,,,,,,
,60259938,05/22/2025 10:30,05/22/2025 15:00,GBPJPY,Sell,0.030,0.00000,0.00000,192.15900,192.40700,-0.1400,0.0000,-24.8,-5.33,-0.18,"",11,00:04:29:30,,,,,,,,,,,,
,60260081,05/22/2025 10:40,05/22/2025 13:45,USDJPY,Sell,0.030,0.00000,0.00000,143.12100,143.66400,-0.1100,0.0000,-54.3,-11.45,-0.38,"",11,00:03:04:37,,,,,,,,,,,,
,60258915,05/22/2025 09:15,05/22/2025 12:00,EURNZD,Buy,0.030,1.90584,0.00000,1.91402,1.90941,-0.1200,0.0000,-46.1,-8.30,-0.27,"",11,00:02:44:12,,,,,,,,,,,,
,60241967,05/21/2025 11:18,05/22/2025 01:00,USDHKD,Buy,0.030,7.82340,0.00000,7.83157,7.82977,-0.1100,-0.2600,-18.0,-1.06,-0.04,"",11,00:13:41:31,,,,,,,,,,,,
