Tags,Ticket,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
,60292398,05/23/2025 17:02,05/23/2025 21:00,USDJPY,Sell,0.470,143.65000,0.00000,142.86400,142.59700,-1.6900,0.0000,26.7,86.31,0.19,"",11,00:03:57:58,,,,,,,,,,,,
,60292357,05/23/2025 17:00,05/23/2025 21:00,USDCHF,Sell,0.470,0.83105,0.00000,0.82350,0.82112,-1.6900,0.0000,23.8,134.54,0.29,"",11,00:03:59:07,,,,,,,,,,,,
,60292333,05/23/2025 17:00,05/23/2025 21:00,AUDNZD,Sell,0.470,1.08971,0.00000,1.08387,1.08531,-1.0900,0.0000,-14.4,-41.60,-0.09,"",11,00:03:59:43,,,,,,,,,,,,
,60292331,05/23/2025 17:00,05/23/2025 21:00,EURJPY,Sell,0.470,162.38000,0.00000,161.58000,161.99600,-1.9100,0.0000,-41.6,-139.02,-0.30,"",11,00:03:59:44,,,,,,,,,,,,
,60292312,05/23/2025 17:00,05/23/2025 21:00,EURGBP,Sell,0.470,0.84370,0.00000,0.83920,0.83986,-1.9100,0.0000,-6.6,-43.88,-0.10,"",11,00:03:59:51,,,,,,,,,,,,
,60293993,05/23/2025 18:15,05/23/2025 21:00,EURUSD,Buy,0.470,1.12632,0.00000,1.13434,1.13604,-1.9200,0.0000,17.0,77.98,0.17,"",11,00:02:44:15,,,,,,,,,,,,
,60292367,05/23/2025 17:01,05/23/2025 21:00,GBPUSD,Buy,0.470,1.34022,0.00000,1.34828,1.35275,-2.2800,0.0000,44.7,207.81,0.45,"",11,00:03:58:54,,,,,,,,,,,,
,60294310,05/23/2025 18:32,05/23/2025 19:04,EURHKD,Buy,0.470,8.88251,0.00000,8.88164,8.88210,-1.9200,0.0000,4.6,0.84,0.00,"[sl]",11,00:00:31:57,,,,,,,,,,,,
,60293994,05/23/2025 18:15,05/23/2025 18:27,EURHKD,Buy,0.470,8.87543,0.00000,8.88377,8.87539,-1.9200,0.0000,-83.8,-52.21,-0.11,"[sl]",11,00:00:11:19,,,,,,,,,,,,
,60279873,05/23/2025 09:16,05/23/2025 13:00,CHFJPY,Sell,0.470,174.31500,0.00000,173.51700,173.45600,-2.0500,0.0000,6.1,17.96,0.04,"",11,00:03:44:02,,,,,,,,,,,,
